pop,crimes,officers,zone1,zone2,zone3,zone4
229528,17.1359996795654,326,1,0,0,0
246815,17.3059997558594,321,1,0,0,0
814054,75.6539993286133,1621,1,0,0,0
933177,83.9599990844727,1803,1,0,0,0
374974,31.3519992828369,633,1,0,0,0
406297,31.3640003204346,685,1,0,0,0
176496,15.6979999542236,245,1,0,0,0
201723,16.9529991149902,259,1,0,0,0
288446,31.2019996643066,504,1,0,0,0
331728,34.3549995422363,563,1,0,0,0
122768,16.8059997558594,186,1,0,0,0
142124,15.9309997558594,232,1,0,0,0
919113,65.5449981689453,1395,1,0,0,0
1040851,88.2269973754883,1674,1,0,0,0
708287,68.5979995727539,1971,1,0,0,0
767933,58,1870,1,0,0,0
659903,51.7809982299805,891,1,0,0,0
730079,36.5180015563965,998,1,0,0,0
216145,19.9449996948242,310,1,0,0,0
242765,20.4270000457764,359,1,0,0,0
80648,5.70800018310547,109,1,0,0,0
77166,5.59600019454956,121,1,0,0,0
517638,58.9720001220703,1388,1,0,0,0
509529,46.1839981079102,1322,1,0,0,0
138865,23.511999130249,439,0,1,0,0
138945,22.8540000915527,494,0,1,0,0
94989,7.20699977874756,180,0,0,1,0
100428,8.51099967956543,209,0,0,1,0
127198,13.1219997406006,290,0,0,1,0
124515,13.1879997253418,284,0,0,1,0
365506,52.9010009765625,979,0,0,1,0
385089,58.7910003662109,1043,0,0,1,0
56168,6.53299999237061,149,0,0,1,0
68730,11.6479997634888,181,0,0,1,0
254253,19.5629997253418,401,0,0,1,0
246548,26.5,486,0,0,1,0
292551,38.5320014953613,660,0,0,1,0
285856,49.3499984741211,716,0,0,1,0
441103,56.9640007019043,1340,0,0,1,0
429953,66.890998840332,1346,0,0,1,0
462657,34.7360000610352,937,0,0,0,1
478693,30.3579998016357,976,0,0,0,1
300404,22.7339992523193,682,0,0,1,0
286516,19.4379997253418,651,0,0,1,0
579338,49.4830017089844,1355,0,0,1,0
549536,51.0009994506836,1333,0,0,1,0
1181868,152.962005615234,4092,0,0,0,1
1091523,138.410995483398,5042,0,0,0,1
376704,37.2589988708496,690,0,0,0,1
359371,45.3559989929199,729,0,0,0,1
273187,24.4130001068115,482,0,0,0,1
265550,21.3600006103516,510,0,0,0,1
451397,45.5029983520508,1145,0,0,0,1
444382,52.7770004272461,1113,0,0,0,1
334414,36.1720008850098,1166,0,1,0,0
318402,40.185001373291,1081,0,1,0,0
360493,28.5919990539551,1034,0,1,0,0
325787,25.05299949646,970,0,1,0,0
71965,5.27600002288818,160,0,1,0,0
64742,4.12400007247925,138,0,1,0,0
243640,26.8209991455078,603,0,1,0,0
236672,23.1870002746582,601,0,1,0,0
383975,33.6839981079102,991,0,0,0,1
371585,27.19700050354,886,0,0,0,1
573944,54.9249992370606,1947,0,0,0,1
548171,45.4080009460449,1717,0,0,0,1
563680,49.2859992980957,1216,0,0,0,1
567800,51.9410018920899,1281,0,0,0,1
193757,24.4769992828369,468,0,0,0,1
181698,19.6830005645752,472,0,0,0,1
425093,38.1949996948242,767,0,0,1,0
441408,56.056999206543,767,0,0,1,0
369769,48.0919990539551,699,1,0,0,0
390845,64.802001953125,769,1,0,0,0
425814,29.9130001068115,1278,0,1,0,0
389015,30.8360004425049,1036,0,1,0,0
158533,15.2329998016357,408,0,1,0,0
158978,19.0820007324219,423,0,1,0,0
659913,55.9309997558594,1200,0,0,1,0
659720,63.8240013122559,1231,0,0,1,0
970624,115.863998413086,1996,0,0,1,0
1009947,164.451995849609,2400,0,0,1,0
412661,47.1279983520508,719,0,0,1,0
432305,77.5630035400391,952,0,0,1,0
173630,18.9150009155273,366,1,0,0,0
159839,20.8729991912842,317,1,0,0,0
271076,20.9340000152588,590,0,0,1,0
280370,20.7749996185303,623,0,0,1,0
268887,14.5369997024536,400,0,0,1,0
340158,18.7029991149902,504,0,0,1,0
645231,45.851001739502,2087,0,0,0,1
607885,50.3979988098145,1944,0,0,0,1
